"","p","measure","imprecision"
"1",0.01,"i_degree",0.313273369630148
"2",0.02,"i_degree",0.305280944103115
"3",0.03,"i_degree",0.2911836532814
"4",0.04,"i_degree",0.28878069930838
"5",0.05,"i_degree",0.286505248217091
"6",0.06,"i_degree",0.270408622337623
"7",0.07,"i_degree",0.256057684176988
"8",0.08,"i_degree",0.247439315411975
"9",0.09,"i_degree",0.234574604929689
"10",0.1,"i_degree",0.214773457383491
"11",0.11,"i_degree",0.206935035907729
"12",0.12,"i_degree",0.197612820568273
"13",0.13,"i_degree",0.186893501492341
"14",0.14,"i_degree",0.176807320735809
"15",0.15,"i_degree",0.172223901192805
"16",0.16,"i_degree",0.164207777293851
"17",0.17,"i_degree",0.157716808394702
"18",0.18,"i_degree",0.152647988574566
"19",0.19,"i_degree",0.148077997003465
"20",0.2,"i_degree",0.142603829119802
"21",0.21,"i_degree",0.135768916733714
"22",0.22,"i_degree",0.129898695069773
"23",0.23,"i_degree",0.126450804535979
"24",0.24,"i_degree",0.119653155494982
"25",0.25,"i_degree",0.123118393081902
"26",0.26,"i_degree",0.122211470878735
"27",0.27,"i_degree",0.117244179669178
"28",0.28,"i_degree",0.114075064202772
"29",0.29,"i_degree",0.117301799476729
"30",0.3,"i_degree",0.114316897422612
"31",0.31,"i_degree",0.116480062746015
"32",0.32,"i_degree",0.114908584428602
"33",0.33,"i_degree",0.118515687248423
"34",0.34,"i_degree",0.118397341161854
"35",0.35,"i_degree",0.114266487352955
"36",0.36,"i_degree",0.122025738619179
"37",0.37,"i_degree",0.123455506858881
"38",0.38,"i_degree",0.116525369738173
"39",0.39,"i_degree",0.116002567683355
"40",0.4,"i_degree",0.113431630144813
"41",0.41,"i_degree",0.113421034639867
"42",0.42,"i_degree",0.115669269065725
"43",0.43,"i_degree",0.108427396119425
"44",0.44,"i_degree",0.109594871776965
"45",0.45,"i_degree",0.109201524905619
"46",0.46,"i_degree",0.10643663688999
"47",0.47,"i_degree",0.106003867946664
"48",0.48,"i_degree",0.0979190753050202
"49",0.49,"i_degree",0.100262748080755
"50",0.5,"i_degree",0.100563804610871
"51",0.01,"i_kshell",0.412198572857239
"52",0.02,"i_kshell",0.39065232787552
"53",0.03,"i_kshell",0.376182646695562
"54",0.04,"i_kshell",0.36566868840706
"55",0.05,"i_kshell",0.351237564173623
"56",0.06,"i_kshell",0.264616911462297
"57",0.07,"i_kshell",0.253705306502032
"58",0.08,"i_kshell",0.243280834622136
"59",0.09,"i_kshell",0.23327047721957
"60",0.1,"i_kshell",0.223554391814097
"61",0.11,"i_kshell",0.214554730373988
"62",0.12,"i_kshell",0.201589738895698
"63",0.13,"i_kshell",0.189601174323468
"64",0.14,"i_kshell",0.182947324045094
"65",0.15,"i_kshell",0.173989221261949
"66",0.16,"i_kshell",0.169731869886835
"67",0.17,"i_kshell",0.164633612838686
"68",0.18,"i_kshell",0.15690905867748
"69",0.19,"i_kshell",0.15324974326682
"70",0.2,"i_kshell",0.145896743364402
"71",0.21,"i_kshell",0.138116906792962
"72",0.22,"i_kshell",0.130930607839858
"73",0.23,"i_kshell",0.125592102451288
"74",0.24,"i_kshell",0.125321859247739
"75",0.25,"i_kshell",0.118240994390916
"76",0.26,"i_kshell",0.129428729672939
"77",0.27,"i_kshell",0.122814382844802
"78",0.28,"i_kshell",0.117792568652863
"79",0.29,"i_kshell",0.110118463697203
"80",0.3,"i_kshell",0.10755472896959
"81",0.31,"i_kshell",0.104702291703455
"82",0.32,"i_kshell",0.101191627755147
"83",0.33,"i_kshell",0.0964386880086499
"84",0.34,"i_kshell",0.0930855418370674
"85",0.35,"i_kshell",0.10102354337071
"86",0.36,"i_kshell",0.0941188776204298
"87",0.37,"i_kshell",0.113042405497531
"88",0.38,"i_kshell",0.106029940302378
"89",0.39,"i_kshell",0.0985977338087725
"90",0.4,"i_kshell",0.124952506366666
"91",0.41,"i_kshell",0.117857108836297
"92",0.42,"i_kshell",0.110315884665712
"93",0.43,"i_kshell",0.103030172318268
"94",0.44,"i_kshell",0.0952409791306886
"95",0.45,"i_kshell",0.093896144752628
"96",0.46,"i_kshell",0.101088517195046
"97",0.47,"i_kshell",0.0938714536032992
"98",0.48,"i_kshell",0.0978551575622419
"99",0.49,"i_kshell",0.0904789408595021
"100",0.5,"i_kshell",0.095864553286138
"101",0.01,"i_global_cc",0.39065726818112
"102",0.02,"i_global_cc",0.332088052248726
"103",0.03,"i_global_cc",0.293055234969785
"104",0.04,"i_global_cc",0.263552441685229
"105",0.05,"i_global_cc",0.248600674089105
"106",0.06,"i_global_cc",0.236157832122632
"107",0.07,"i_global_cc",0.2330733894453
"108",0.08,"i_global_cc",0.227309742260236
"109",0.09,"i_global_cc",0.222022647328464
"110",0.1,"i_global_cc",0.218511029973038
"111",0.11,"i_global_cc",0.217994747390548
"112",0.12,"i_global_cc",0.209311565394001
"113",0.13,"i_global_cc",0.199071252258439
"114",0.14,"i_global_cc",0.193054330918095
"115",0.15,"i_global_cc",0.180100332450413
"116",0.16,"i_global_cc",0.171733207287338
"117",0.17,"i_global_cc",0.166488489136621
"118",0.18,"i_global_cc",0.160794576176867
"119",0.19,"i_global_cc",0.155726647164191
"120",0.2,"i_global_cc",0.147939396724159
"121",0.21,"i_global_cc",0.142229708294563
"122",0.22,"i_global_cc",0.136126913541547
"123",0.23,"i_global_cc",0.13472981938112
"124",0.24,"i_global_cc",0.132009913096952
"125",0.25,"i_global_cc",0.134173239589955
"126",0.26,"i_global_cc",0.137598950166427
"127",0.27,"i_global_cc",0.137757718718957
"128",0.28,"i_global_cc",0.143350636331972
"129",0.29,"i_global_cc",0.146636293720096
"130",0.3,"i_global_cc",0.145871542203007
"131",0.31,"i_global_cc",0.148507894727658
"132",0.32,"i_global_cc",0.15499638830422
"133",0.33,"i_global_cc",0.156023277396875
"134",0.34,"i_global_cc",0.154374696611758
"135",0.35,"i_global_cc",0.148399395291304
"136",0.36,"i_global_cc",0.14319988794995
"137",0.37,"i_global_cc",0.137633438133672
"138",0.38,"i_global_cc",0.137727628951047
"139",0.39,"i_global_cc",0.137870874474585
"140",0.4,"i_global_cc",0.138005862338274
"141",0.41,"i_global_cc",0.139402907393264
"142",0.42,"i_global_cc",0.140265550292782
"143",0.43,"i_global_cc",0.138328557329979
"144",0.44,"i_global_cc",0.135936597277048
"145",0.45,"i_global_cc",0.13360170744476
"146",0.46,"i_global_cc",0.133751617606673
"147",0.47,"i_global_cc",0.130288830694839
"148",0.48,"i_global_cc",0.123863072342203
"149",0.49,"i_global_cc",0.118370086383727
"150",0.5,"i_global_cc",0.119066201838401
"151",0.01,"i_local_cc5",0.359133655339557
"152",0.02,"i_local_cc5",0.354848126965591
"153",0.03,"i_local_cc5",0.35365108829077
"154",0.04,"i_local_cc5",0.342772003959252
"155",0.05,"i_local_cc5",0.316127057708206
"156",0.06,"i_local_cc5",0.290677107860663
"157",0.07,"i_local_cc5",0.275877204412872
"158",0.08,"i_local_cc5",0.251052162488373
"159",0.09,"i_local_cc5",0.236135914400616
"160",0.1,"i_local_cc5",0.21684833108541
"161",0.11,"i_local_cc5",0.207898233070401
"162",0.12,"i_local_cc5",0.198064868599083
"163",0.13,"i_local_cc5",0.187001991709579
"164",0.14,"i_local_cc5",0.178919137887178
"165",0.15,"i_local_cc5",0.170917449264557
"166",0.16,"i_local_cc5",0.165657405051212
"167",0.17,"i_local_cc5",0.16181183923028
"168",0.18,"i_local_cc5",0.152670954649959
"169",0.19,"i_local_cc5",0.143444098851745
"170",0.2,"i_local_cc5",0.13963967021293
"171",0.21,"i_local_cc5",0.134647116318452
"172",0.22,"i_local_cc5",0.130695196893776
"173",0.23,"i_local_cc5",0.126854326094518
"174",0.24,"i_local_cc5",0.125236691583529
